ticket_price,number_of_tickets_sold
249.82,1900
480.29,971
392.8,1108
339.46,1536
162.41,3049
162.4,3529
123.23,3298
446.47,1184
340.45,1623
383.23,1440
108.23,5333
487.96,1118
432.98,1352
184.94,2522
172.73,2898
173.36,2323
221.7,1810
309.9,1445
272.78,1540
216.49,2088
344.74,1263
155.8,2604
216.86,2683
246.54,1629
282.43,1937
414.07,1039
179.87,3238
305.69,1892
336.97,1575
118.58,4507
343.02,1169
168.21,3548
126.02,4567
479.55,1207
486.25,1093
423.36,1107
221.85,2608
139.07,3295
373.69,1371
276.06,1521
148.82,3926
298.07,1436
113.76,3911
463.73,1103
203.51,2716
365.01,1435
224.68,1986
308.03,1299
318.68,1730
173.94,3432
487.83,1152
410.05,1199
475.8,1220
457.93,1052
339.16,1488
468.75,1056
135.4,3615
178.39,3111
118.09,4279
230.13,2013
255.47,1767
208.54,1954
431.5,1197
242.7,1837
212.37,2023
317.08,1673
156.37,3429
420.88,1307
129.82,3856
494.75,1169
408.9,1436
179.49,3128
102.21,5157
426.18,1081
382.74,1558
391.6,1161
408.51,1078
129.62,3768
243.39,1690
146.35,4070
445.24,1162
349.32,1463
232.36,2285
125.42,3981
224.39,1811
230.07,2270
391.84,1386
355.02,1361
454.89,1212
288.89,1541
147.84,3004
385.3,1121
404.31,1173
324.51,1754
408.39,1384
297.52,1601
309.09,1675
271.02,2007
110.17,4068
143.16,3028
112.57,5280
354.56,1476
225.74,2641
303.43,1540
463.03,1167
199.72,2225
264.15,1712
402.22,1249
191.52,2422
130.79,3314
215.9,2096
164.49,2475
471.88,1146
423.25,1177
353.36,1185
448.58,968
421.47,997
174.63,2992
457.02,916
315.74,1744
422.98,955
458.44,981
227.2,2544
144.02,3775
191.17,2168
270.84,2083
427.21,1167
444.29,1281
102.78,5060
304.3,1762
266.96,2242
188.84,2364
147.95,3547
235.05,2093
477.16,854
229.28,1757
307.52,1378
381.21,1389
245.45,2091
488.71,1044
484.98,837
200.71,2460
298.9,1956
220.35,2176
213.94,2453
114.75,4844
343.83,1619
301.07,1673
120.59,4739
211.46,2261
463.31,1246
195.82,2288
157.96,2887
295.78,1388
494.26,1131
196.82,2456
368.85,1208
404.65,1103
195.06,2974
391.29,1448
247.11,2066
352.92,1482
353.41,1400
314.31,1521
136.12,4283
434.12,979
228.31,2118
174.61,2685
116.31,4295
336.36,1461
371.03,1357
106.64,4013
304.84,1648
190.6,2353
358.07,1220
169.75,2432
376.38,1468
254.69,1906
474.69,1106
155.01,3519
236.43,2266
145.39,3398
469.88,1016
450.94,1053
203.18,2598
363.99,1370
426.89,1334
322.08,1785
311.86,1392
196.74,2171
137.24,3833
458.89,1002
460.17,877
353.24,1635
235.61,1890
239.68,2444
390.38,1392
458.84,1204
454.83,968
411.95,1084
356.81,1413
133.66,3250
164.65,2800
459.42,1010
342.57,1260
103.68,4253
140.59,3966
365.4,1186
102.02,3976
164.32,3200
319.49,1862
376.76,1237
360.78,1174
189.71,2709
384.87,1510
194.9,2856
230.16,2278
398.6,1161
359.85,1412
439.69,951
363.05,1475
327.32,1665
137.47,4313
247.09,1829
206.08,1958
197.6,2576
489.2,1106
257.24,2169
456.82,960
352.46,1283
417.92,1202
301.05,1548
330.76,1729
297.01,1665
178.1,3143
388.98,1326
212.31,2612
109.73,4251
358.19,1580
170.84,2662
476.18,1069
481.57,919
465.95,1062
248.06,1869
106.18,4269
471.33,1258
271.27,1592
486.66,1145
485.45,1229
441.2,915
217.78,2478
254.04,1773
440.45,926
226.77,2119
167.8,3498
322.72,1246
474.46,1090
378.41,1322
328.02,1751
138.87,3001
346.0,1550
496.02,1080
156.03,3421
307.33,1914
450.95,1252
396.31,1030
378.81,1304
380.99,1258
243.8,1895
217.44,2254
423.74,1125
424.05,1147
446.83,1333
465.3,897
304.54,1919
300.61,1650
419.32,1251
359.99,1572
380.79,1239
418.32,1161
456.0,1056
235.2,2019
250.23,2338
137.59,4112
331.31,1273
114.38,3686
286.24,1696
317.06,1323
214.62,2440
336.33,1274
112.2,4496
114.94,3492
429.04,1079
244.08,2193
150.82,3294
308.9,1928
408.0,1408
186.33,2532
349.16,1171
134.14,4242
120.67,4825
312.54,1804
316.25,1345
354.97,1689
390.44,1156
490.34,1111
306.52,1897
229.18,1951
418.07,1391
208.33,2217
275.59,2160
131.38,3472
110.14,5363
485.06,846
434.39,1247
378.39,1338
263.58,1880
169.32,2626
162.57,3328
200.1,2189
319.69,1597
385.84,1167
364.08,1623
211.97,1914
481.95,912
